Kanji	Onyomi	Kunyomi	English
景	ケ		scenery, view
落	ラク オ.ト	お.ちる お.ち	fall, drop, come down
好	コウ イ.	この.む す.く よ.い	fond, pleasing, like something
退	タイ	しりぞ.く しりぞ.ける ひ.く の.く の.ける ど.く	retreat, withdraw, retire, resign, repel, expel, reject
頭	トウ ズ ト カブ	あたま かしら -がしら	head, counter for large animals
負	フ	ま.ける ま.かす お.う	defeat, negative, -, minus, bear, owe, assume a responsibility
渡	ト ワタ.	わた.る -わた.る	transit, ford, ferry, cross, import, deliver, diameter, migrate
失	シツ	うしな.う う.せる	lose, error, fault, disadvantage, loss
差	サ	さ.す さ.し	distinction, difference, variation, discrepancy, margin, balance
末	マツ バツ	すえ	end, close, tip, powder, posterity
守	シュ ス カ	まも.る まも.り もり -もり	guard, protect, defend, obey
若	ジャク ニャク ニャ モ.シク	わか.い わか- も.しくわ も.し	young, if, perhaps, possibly, low number, immature
種	シュ -グ	たね	species, kind, class, variety, seed
美	ビ ミ ウツク.シ		beauty, beautiful
命	メイ ミョウ	いのち	fate, command, decree, destiny, life, appoint
福	フ		blessing, fortune, luck, wealth
望	ボウ モウ モ	のぞ.む	ambition, full moon, hope, desire, aspire to, expect
非	ヒ	あら.ず	un-, mistake, negative, injustice, non-
観	カン	み.る しめ.す	outlook, look, appearance, condition, view
察	サツ		guess, presume, surmise, judge, understand
段	ダン タン		grade, steps, stairs
横	オウ	よこ	sideways, side, horizontal, width, woof
深	シン	ふか.い -ぶか.い ふか.まる ふか.める み-	deep, heighten, intensify, strengthen
申	シン	もう.す もう.し- さる	have the honor to, sign of the monkey, 3-5PM, ninth sign of Chinese zodiac
様	ヨウ ショウ	さま さん	Esq., way, manner, situation, polite suffix
財	ザイ サイ ゾ		property, money, wealth, assets
港	コウ	みなと	harbor
識	シ		discriminating, know, write
呼	コ ヨ.		call, call out to, invite
達	タツ ダ -タ		accomplished, reach, arrive, attain
良	リョウ -イ.	よ.い -よ.い い.い	good, pleasing, skilled
候	コウ	そうろう	climate, season, weather
程	テイ -ホ	ほど	extent, degree, law, formula, distance, limits, amount
満	マン バン ミ.タ	み.ちる み.つ	full, enough, pride, satisfy
敗	ハイ	やぶ.れる	failure, defeat, reversal
値	チ アタ	ね	price, cost, value
突	トツ カ	つ.く	stab, protruding, thrusting, thrust, pierce, prick
光	コウ ヒカ	ひか.る	ray, light
路	ロ ル	-じ みち	path, route, road, distance
科			department, course, section
積	セキ ツ.モ	つ.む -づ.み つ.もる	volume, product (x*y), acreage, contents, pile up, stack, load, amass
他	タ	ほか	other, another, the others
処	ショ	ところ -こ お.る	dispose, manage, deal with, sentence, condemn, act, behave, place
太	タイ タ フト.	ふと.い	plump, thick, big around
客	キャク カク		guest, visitor, customer, client
否	ヒ	いな いや	negate, no, noes, refuse, decline, deny
師			expert, teacher, master, army, war
登	トウ ト ドウ ショウ チョウ ア.ガ	のぼ.る	ascend, climb up
易	エキ イ	やさ.しい やす.い	easy, ready to, simple, fortune-telling, divination
速	ソク スミ.ヤ	はや.い はや- はや.める	quick, fast
存	ソン ゾ		suppose, be aware of, believe, feel
飛	ヒ -ト.バ	と.ぶ と.ばす	fly, skip (pages), scatter
殺	サツ サイ セツ	ころ.す -ごろ.し そ.ぐ	kill, murder, butcher, slice off, split, diminish, reduce, spoil
号	ゴウ	さけ.ぶ よびな	nickname, number, item, title, pseudonym, name, call
単	タン	ひとえ	simple, one, single, merely
座	ザ	すわ.る	squat, seat, cushion, gathering, sit
破	ハ ヤブ.レ	やぶ.る	rend, rip, tear, break, destroy, defeat, frustrate
除	ジョ ジ	のぞ.く -よ.け	exclude, division (x, 3), remove, abolish, cancel, except
完	カン		perfect, completion, end
降	コウ ゴ クダ.	お.りる お.ろす ふ.る ふ.り くだ.る	descend, precipitate, fall, surrender
責	セキ	せ.める	blame, condemn, censure
捕	ホ	と.らえる と.らわれる と.る とら.える とら.われる つか.まえる つか.まる	catch, capture
危	キ	あぶ.ない あや.うい あや.ぶむ	dangerous, fear, uneasy
給	キュウ -タマ.	たま.う たも.う	salary, wage, gift, allow, grant, bestow on
苦	ク	くる.しい -ぐる.しい くる.しむ くる.しめる にが.い にが.る	suffering, trial, worry, hardship, feel bitter, scowl
迎	ゲイ ムカ.エ		welcome, meet, greet
園	エン ソ		park, garden, yard, farm
具	グ ツブサ.	そな.える	tool, utensil, means, possess, ingredients, counter for armor, suits, sets of furniture
辞	ジ	や.める いな.む	resign, word, term, expression
因	イン チナ.	よ.る	cause, factor, be associated with, depend on, be limited to
馬	バ	うま うま-	horse
愛	アイ イト.シ		love, affection, favourite
富	フ フウ ト	と.む	wealth, enrich, abundant
彼	ヒ カ.	かれ かの	he, that, the
未	ミ ビ	いま.だ ま.だ ひつじ	un-, not yet, hitherto, still, even now, sign of the ram, 1-3PM, eighth sign of Chinese zodiac
舞	ブ	ま.う -ま.う まい	dance, flit, circle, wheel
亡	ボウ モウ	な.い な.き- ほろ.びる ほろ.ぶ ほろ.ぼす	deceased, the late, dying, perish
冷	レイ	つめ.たい ひ.える ひ.や ひ.ややか ひ.やす ひ.やかす さ.める さ.ます	cool, cold (beer, person), chill
適	テキ	かな.う	suitable, occasional, rare, qualified, capable
婦			lady, woman, wife, bride
寄	キ ヨ.セ	よ.る -よ.り	draw near, stop in, bring near, gather, collect, send, forward
込	コ.メ	-こ.む こ.む こ.み -こ.み	crowded, mixture, in bulk, included, (kokuji)
顔	ガン	かお	face, expression
類	ルイ	たぐ.い	sort, kind, variety, class, genus
余	ヨ アマ.	あま.る あま.り	too much, myself, surplus, other, remainder
王	オウ -ノ		king, rule, magnate
返	ヘン	かえ.す -かえ.す かえ.る -かえ.る	return, answer, fade, repay
妻	サイ ツ		wife, spouse
背	ハイ	せ せい そむ.く そむ.ける	stature, height, back, behind, disobey, defy, go back on, rebel
熱	ネツ アツ.		heat, temperature, fever, mania, passion
宿	シュク ヤド.	やど やど.る	inn, lodging, relay station, dwell, lodge, be pregnant, home, dwelling
薬	ヤク クス		medicine, chemical, enamel, gunpowder, benefit
険	ケン	けわ.しい	precipitous, inaccessible place, impregnable position, steep place, sharp eyes
頼	ライ タヨ.	たの.む たの.もしい	trust, request
覚	カク	おぼ.える さ.ます さ.める さと.る	memorize, learn, remember, awake, sober up
船	セン	ふね ふな	ship, boat
途			route, way, road
許	キョ	ゆる.す もと	permit, approve
抜	バツ ハツ ハイ ヌ.カ	ぬ.く -ぬ.く ぬ.き ぬ.ける ぬ.かす	slip out, extract, pull out, pilfer, quote, remove, omit
便	ベン ビン	たよ.り	convenience
留	リュウ ル ルウブ	と.める と.まる とど.める とど.まる	detain, fasten, halt, stop
罪	ザイ	つみ	guilt, sin, crime, fault, blame, offense
努	ド	つと.める	toil, diligent, as much as possible
精	セイ ショウ シヤ		refined, ghost, fairy, energy, vitality, semen, excellence, purity, skill
散	サン バ	ち.る ち.らす -ち.らす ち.らかす ち.らかる	scatter, disperse, spend, squander
静	セイ ジョウ シズ.メ	しず- しず.か しず.まる	quiet
婚	コン		marriage
喜	キ ヨロコ.バ	よろこ.ぶ	rejoice, take pleasure in
浮	フ ウ.カベ	う.く う.かれる う.かぶ む	floating, float, rise to surface
絶	ゼツ	た.える た.やす た.つ	discontinue, beyond, sever, cut off, abstain, interrupt, suppress
幸	コウ シアワ.	さいわ.い さち	happiness, blessing, fortune
押	オウ オサ.エ	お.す お.し- お.っ- お.さえる	push, stop, check, subdue, attach, seize, weight, shove, press, seal, do in spite of
倒	トウ	たお.れる -だお.れ たお.す	overthrow, fall, collapse, drop, break down
等	トウ -	ひと.しい など	etc., and so forth, class (first), quality, equal, similar
老	ロウ フ.ケ	お.いる	old man, old age, grow old
曲	キョク マ.ゲ	ま.がる	bend, music, melody, composition, pleasure, injustice, fault, curve, crooked, perverse, lean
払	フツ ヒツ ホツ -バラ.	はら.う -はら.い	pay, clear out, prune, banish, dispose of
庭	テイ ニ		courtyard, garden, yard
徒	ト ア	いたずら	junior, emptiness, vanity, futility, uselessness, ephemeral thing, gang, set, party, people
勤	キン ゴン	つと.める -づと.め つと.まる いそ.しむ	diligence, become employed, serve
遅	チ オソ.	おく.れる おく.らす	slow, late, back, later
居	キョ コ オ.	い.る -い	reside, to be, exist, live with
雑	ザツ ゾウ	まじ.える まじ.る	miscellaneous
招	ショウ	まね.く	beckon, invite, summon, engage
困	コン	こま.る	quandary, become distressed, annoyed
欠		あくび	lack, gap, fail
更	コウ	さら さら.に ふ.ける ふ.かす	grow late, night watch, sit up late, of course
刻	コク	きざ.む きざ.み	engrave, cut fine, chop, hash, mince, time, carving
賛	サン	たす.ける たた.える	approve, praise, title or inscription on picture, assist, agree with
抱	ホウ カカ.エ	だ.く いだ.く	embrace, hug, hold in arms
犯	ハン ボン	おか.す	crime, sin, offense
恐	キョウ	おそ.れる おそ.る おそ.ろしい こわ.い こわ.がる	fear, dread, awe
息	ソク	いき	breath, respiration, son, interest (on money)
遠	エン オン トオ.		distant, far
戻	レイ	もど.す もど.る	re-, return, revert, resume, restore, go backwards
願	ガン -ネガ	ねが.う	petition, request, vow, wish, hope
絵	カイ エ		picture, drawing, painting, sketch
越	エツ オツ -ゴ.	こ.す -こ.す -ご.し こ.える	surpass, cross over, move to, exceed, Vietnam
欲	ヨク	ほっ.する ほ.しい	longing, covetousness, greed, passion, desire, craving
痛	ツウ	いた.い いた.む いた.ましい いた.める	pain, hurt, damage, bruise
笑	ショウ エ.	わら.う	laugh
互	ゴ	たが.い かたみ.に	mutually, reciprocally, together
束	ソク	たば たば.ねる つか つか.ねる	bundle, sheaf, ream, tie in bundles, govern, manage, control
似	ジ ヒ.	に.る	becoming, resemble, counterfeit, imitate, suitable
列	レツ		file, row, rank, tier, column
探	タン	さぐ.る さが.す	grope, search, look for
逃	トウ	に.げる に.がす のが.す のが.れる	escape, flee, shirk, evade, set free
遊	ユウ ユ アソ.バ	あそ.ぶ	play
迷	メイ	まよ.う	astray, be perplexed, in doubt, lost, err, illusion
夢	ム ボウ	ゆめ ゆめ.みる くら.い	dream, vision, illusion
君	クン -ギ	きみ	old boy, name-suffix
閉	ヘイ タ.テ	と.じる と.ざす し.める し.まる	closed, shut
緒	ショ チョ イトグ	お	thong, beginning, inception, end, cord, strap
折	セツ オ.レ	お.る おり お.り -お.り	fold, break, fracture, bend, yield, submit
草	ソウ -グ	くさ くさ-	grass, weeds, herbs, pasture, write, draft
暮	ボ ク.ラ	く.れる	livelihood, make a living, spend time
酒	シュ	さけ さか	sake, alcohol
悲	ヒ	かな.しい かな.しむ	jail cell, grieve, sad, deplore, regret
晴	セイ ハ.ラ	は.れる は.れ は.れ- -ば.れ	clear up
掛	カイ ケイ -ガカ	か.ける -か.ける か.け -か.け -が.け か.かる -か.かる -が.かる か.かり -が.かり かかり	hang, suspend, depend, arrive at, tax, pour
到	トウ	いた.る	arrival, proceed, reach, attain, result in
寝	シン	ね.る ね.かす い.ぬ みたまや や.める	lie down, sleep, rest, bed, remain unsold
暗	アン	くら.い	darkness, disappear, shade, informal, grow dark, be blinded
盗	トウ	ぬす.む ぬす.み	steal, rob, pilfer
吸	キュウ	す.う	suck, imbibe, inhale, sip
陽	ヨウ		sunshine, yang principle, positive, male, heaven, daytime
御	ギョ ゴ	おん- お- み	honorable, manipulate, govern
歯	シ	よわい は よわ.い よわい.する	tooth, cog
忘	ボウ	わす.れる	forget
雪	セツ ユ		snow
吹	スイ フ.		blow, breathe, puff, emit, smoke
娘	ジョウ	むすめ こ	daughter, girl
誤	ゴ	あやま.る -あやま.る	mistake, err, do wrong, mislead
洗	セン アラ.		wash, inquire into, probe
慣	カン	な.れる な.らす	accustomed, get used to, become experienced
礼	レイ ラ		salute, bow, ceremony, thanks, remuneration
窓	ソウ ス	まど てんまど けむだし	window, pane
昔	セキ シャク	むかし	once upon a time, antiquity, old times
貧	ヒン ビン	まず.しい	poverty, poor
怒	ド ヌ	いか.る おこ.る	angry, be offended
泳	エイ	およ.ぐ	swim
祖			ancestor, pioneer, founder
杯	ハイ	さかずき	counter for cupfuls, wine glass, glass, toast
疲	ヒ	つか.れる -づか.れ つか.らす	exhausted, tire, weary
皆	カイ ミン	みな	all, everything
鳴	メイ ナ.ラ	な.く な.る	chirp, cry, bark, sound, ring, echo, honk
腹	フク	はら	abdomen, belly, stomach
煙	エン ケム.	けむ.る けむり	smoke
眠	ミン ネム.	ねむ.る	sleep, die, sleepy
怖	フ ホ	こわ.い こわ.がる お.じる おそ.れる	dreadful, be frightened, fearful
耳	ジ ミ		ear
頂	チョウ	いただ.く いただき	place on the head, receive, top of head, top, summit, peak
箱	ソウ	はこ	box, chest, case, bin, railway car
晩	バン		nightfall, night
寒	カン サム.		cold
髪	ハツ カ		hair of the head
忙	ボウ モウ	いそが.しい せわ.しい おそ.れる うれえるさま	busy, occupied, restless
才	サイ		genius, years old, cubic shaku
靴	カ	くつ	shoes
恥	チ	は.じる はじ は.じらう は.ずかしい	shame, dishonor
偶	グウ	たま	accidentally, even number, couple, man & wife, same kind
偉	イ エラ.		admirable, greatness, remarkable, conceited, famous, excellent
猫	ビョウ	ねこ	cat
幾	キ イク.	いく- いく.つ	how many, how much, how far, how long
